product_name,category,stock_quantity
Smartphone iPhone 15,Electronics,11
Laptop ASUS ROG,Electronics,71
Wireless Earbuds,Electronics,21
Smart Watch v4,Electronics,37
Bluetooth Speaker,Electronics,52
Unisex Oversized Hoodie,Clothing,80
Slim Fit Denim Jeans,Clothing,63
Running Sports Shoes,Clothing,90
Cotton T-Shirt,Clothing,26
Summer Dress,Clothing,34
Air Fryer 4L,Home & Kitchen,42
Electric Coffee Grinder,Home & Kitchen,55
Ergonomic Office Chair,Home & Kitchen,58
Robot Vacuum Cleaner,Home & Kitchen,12
Stainless Steel Water Bottle,Home & Kitchen,31
Python Programming Masterclass,Books,31
Data Science from Scratch,Books,25
Introduction to Algorithms,Books,34
The Lean Startup,Books,32
Atomic Habits,Books,68
